ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
10. Series de indices enlazados  de la produccion nominal y real,  ventas nominal y real  y empleo (total y por area funcional),  segun clase industrial;;;;;;;;;;
Enero 2001  - Octubre 2023p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicacion Diciembre 15 de 2023;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
Dominios;YEAR;MES ;Clases industriales;Produccion nominal;Produccion real;Ventas nominal;Ventas reales;Empleo  Total;Personal de Administracion;Personal de Produccion
1010;2004;9;Procesamiento y conservacion de carne, pescado,y sus productos;35,5;54,5;40,9;62,7;72,3;81,3;69,8
1010;2004;10;Procesamiento y conservacion de carne, pescado,y sus productos;39,4;59,6;45,5;68,7;73,9;82,7;71,5
1010;2004;11;Procesamiento y conservacion de carne, pescado,y sus productos;39,1;59,8;43,6;66,6;74,8;84,4;72,4
1010;2004;12;Procesamiento y conservacion de carne, pescado,y sus productos;43;65,2;49,8;75,4;74,9;83,4;72,6
1010;2005;1;Procesamiento y conservacion de carne, pescado,y sus productos;34,7;51,5;41;60,8;75,8;84,9;73,3
1010;2005;2;Procesamiento y conservacion de carne, pescado,y sus productos;33,9;50,3;38,2;56,6;75,9;83,8;73,7
1010;2005;3;Procesamiento y conservacion de carne, pescado,y sus productos;34,3;50,6;40,7;59,8;75,3;79,3;74,1
1010;2005;4;Procesamiento y conservacion de carne, pescado,y sus productos;39;57,1;42,3;61,7;75,3;82,5;73,3
1010;2005;5;Procesamiento y conservacion de carne, pescado,y sus productos;36,2;53,2;41,8;61,3;71,5;82,5;68,5
1010;2005;6;Procesamiento y conservacion de carne, pescado,y sus productos;39,5;58,4;45,4;67;71,4;86,3;67,5
1010;2005;7;Procesamiento y conservacion de carne, pescado,y sus productos;36,3;53,9;43,6;64,8;74,3;83,9;71,7
1010;2005;8;Procesamiento y conservacion de carne, pescado,y sus productos;40,7;60,9;46,9;70,2;74,9;86,3;71,8
1010;2005;9;Procesamiento y conservacion de carne, pescado,y sus productos;39,5;60;45,8;69,6;74,2;84,7;71,4
1010;2005;10;Procesamiento y conservacion de carne, pescado,y sus productos;42,5;64,6;45,1;68,1;75,5;84,6;73
1010;2005;11;Procesamiento y conservacion de carne, pescado,y sus productos;43,6;66,1;49,7;75,5;75;86,2;72,2
1010;2005;12;Procesamiento y conservacion de carne, pescado,y sus productos;43,4;64,3;52,6;78,2;75;87,4;71,7
1010;2006;1;Procesamiento y conservacion de carne, pescado,y sus productos;38,4;56;41,7;60,4;76,9;88,5;73,7
1010;2006;2;Procesamiento y conservacion de carne, pescado,y sus productos;39,7;58,3;45,1;66,1;77,9;84,9;75,9
1010;2006;3;Procesamiento y conservacion de carne, pescado,y sus productos;40,6;59,5;45,2;66;78;82,6;76,7
1010;2006;4;Procesamiento y conservacion de carne, pescado,y sus productos;40;57,7;46;66,2;78,3;87,2;75,8
