ENCUESTA MENSUAL MANUFACTURERA;;;;;;;;;;
10. Series de indices enlazados  de la produccion nominal y real,  ventas nominal y real  y empleo (total y por area funcional),  segun clase industrial;;;;;;;;;;
Enero 2001  - Octubre 2023p;;;;;;;;;;
Base 2018=100;;;;;;;;;;
Fecha de publicacion Diciembre 15 de 2023;;;;;;;;;;
Fuente. DANE - EMMET;;;;;;;;;;
p: provisionales;;;;;;;;;;
a) agrupa los dominios 1030, 1082 y 1089 ;;;;;;;;;;
b) agrupa los dominios 1300 y 1400;;;;;;;;;;
c) No incluye la mezcla de combustibles;;;;;;;;;;
d) agrupa los dominios 2020, 2023 y 2100;;;;;;;;;;
e) agrupa los dominios 1050 y 1090;;;;;;;;;;
Nota: La diferencia entre el total y la suma de los dominios  se debe a aproximaciones decimales.;;;;;;;;;;
Nota: Se presentan cambios por actualización de información de parte de las fuentes informantes;;;;;;;;;;
Dominios;YEAR;MES ;Clases industriales;Produccion nominal;Produccion real;Ventas nominal;Ventas reales;Empleo  Total;Personal de Administracion;Personal de Produccion
1010;2016;2;Procesamiento y conservacion de carne, pescado,y sus productos;84,4;89,2;83,8;88,6;94,7;92;95,5
1010;2016;3;Procesamiento y conservacion de carne, pescado,y sus productos;84,5;90,4;83,9;89,7;92,1;88,1;93,2
1010;2016;4;Procesamiento y conservacion de carne, pescado,y sus productos;87,6;93,3;84,3;89,8;92,4;88,3;93,6
1010;2016;5;Procesamiento y conservacion de carne, pescado,y sus productos;85,1;89,8;85,8;90,5;92,6;89,8;93,4
1010;2016;6;Procesamiento y conservacion de carne, pescado,y sus productos;89,7;93,6;90,4;94,4;91,8;90,7;92,2
1010;2016;7;Procesamiento y conservacion de carne, pescado,y sus productos;85,6;88;91,6;94,1;93,1;92,5;93,3
1010;2016;8;Procesamiento y conservacion de carne, pescado,y sus productos;93,4;94,7;95,2;96,5;93,8;93,4;93,9
1010;2016;9;Procesamiento y conservacion de carne, pescado,y sus productos;92,1;92,8;92,4;93,1;96,2;92,3;97,3
1010;2016;10;Procesamiento y conservacion de carne, pescado,y sus productos;92,9;92,9;92,3;92,3;99,2;94,9;100,4
1010;2016;11;Procesamiento y conservacion de carne, pescado,y sus productos;95,5;95,4;94,1;94;98,2;96,3;98,8
1010;2016;12;Procesamiento y conservacion de carne, pescado,y sus productos;102,8;102,1;116,1;115,4;98,8;96,7;99,5
1010;2017;1;Procesamiento y conservacion de carne, pescado,y sus productos;91,3;91,2;88;88;96,9;97,1;96,9
1010;2017;2;Procesamiento y conservacion de carne, pescado,y sus productos;82,2;82,8;80,6;81,2;97,9;97,4;98
1010;2017;3;Procesamiento y conservacion de carne, pescado,y sus productos;90,5;91,4;91,4;92,3;98,2;97,3;98,5
1010;2017;4;Procesamiento y conservacion de carne, pescado,y sus productos;81,1;81,7;83,3;83,9;97,6;98,4;97,4
1010;2017;5;Procesamiento y conservacion de carne, pescado,y sus productos;91;91,7;91,6;92,3;97;101,3;95,8
1010;2017;6;Procesamiento y conservacion de carne, pescado,y sus productos;92,7;94;97,1;98,5;97,9;100,3;97,3
1010;2017;7;Procesamiento y conservacion de carne, pescado,y sus productos;93,2;94,7;95,5;97;98,6;97,8;98,9
1010;2017;8;Procesamiento y conservacion de carne, pescado,y sus productos;97,3;98,9;98,6;100,3;99,2;98,5;99,4
1010;2017;9;Procesamiento y conservacion de carne, pescado,y sus productos;98,2;99,4;98,2;99,5;99,3;96;100,3
1010;2017;10;Procesamiento y conservacion de carne, pescado,y sus productos;95,8;97,2;96,8;98,2;101,3;97,7;102,3
1010;2017;11;Procesamiento y conservacion de carne, pescado,y sus productos;102,7;103,6;98,9;99,8;101,7;100,7;102,1
1010;2017;12;Procesamiento y conservacion de carne, pescado,y sus productos;110,2;110,4;123,5;123,8;101,9;102,5;101,7
1010;2018;1;Procesamiento y conservacion de carne, pescado,y sus productos;98,7;98,1;97,7;97,1;98,6;99,8;98,3
1010;2018;2;Procesamiento y conservacion de carne, pescado,y sus productos;91,3;89,8;92,5;91;98,5;98,4;98,5
1010;2018;3;Procesamiento y conservacion de carne, pescado,y sus productos;98,3;96,6;101;99,3;99,6;97,9;100
1010;2018;4;Procesamiento y conservacion de carne, pescado,y sus productos;97,3;95,5;96,6;94,8;99,5;99,1;99,6
1010;2018;5;Procesamiento y conservacion de carne, pescado,y sus productos;102,2;100,9;102,1;100,8;99;99,5;98,9
1010;2018;6;Procesamiento y conservacion de carne, pescado,y sus productos;99,1;98,4;99,1;98,4;99,1;100,2;98,9
1010;2018;7;Procesamiento y conservacion de carne, pescado,y sus productos;101,5;101,6;98,7;98,8;99,8;100;99,8
1010;2018;8;Procesamiento y conservacion de carne, pescado,y sus productos;101,6;103,1;100,2;101,8;99,6;99,7;99,6
1010;2018;9;Procesamiento y conservacion de carne, pescado,y sus productos;95,6;97,6;94,3;96,3;100,5;100;100,6
1010;2018;10;Procesamiento y conservacion de carne, pescado,y sus productos;101,5;103,9;99;101,2;101,5;99,5;102,1
1010;2018;11;Procesamiento y conservacion de carne, pescado,y sus productos;103,3;105,2;100,3;102,1;100,4;101,4;100,1
1010;2018;12;Procesamiento y conservacion de carne, pescado,y sus productos;109,6;109,5;118,5;118,4;103,9;104,5;103,8
1010;2019;1;Procesamiento y conservacion de carne, pescado,y sus productos;100;99,4;99;98,5;101,8;99,7;102,3
1010;2019;2;Procesamiento y conservacion de carne, pescado,y sus productos;92,4;92;93;92,6;100,8;98,5;101,4
1010;2019;3;Procesamiento y conservacion de carne, pescado,y sus productos;100,2;99,8;101,6;101,2;102;98,9;102,7
1010;2019;4;Procesamiento y conservacion de carne, pescado,y sus productos;98,3;97,4;99,2;98,3;102;100,3;102,4
1010;2019;5;Procesamiento y conservacion de carne, pescado,y sus productos;107,5;107,2;105,1;104,8;99,7;99,8;99,7
1010;2019;6;Procesamiento y conservacion de carne, pescado,y sus productos;99,6;99,3;100,1;99,8;100,1;99,2;100,3
1010;2019;7;Procesamiento y conservacion de carne, pescado,y sus productos;109;108,6;107,3;106,9;101,4;99,7;101,9
1010;2019;8;Procesamiento y conservacion de carne, pescado,y sus productos;109,8;109,2;108,6;108;102,1;98,5;103
1010;2019;9;Procesamiento y conservacion de carne, pescado,y sus productos;104,4;103;101,8;100,6;101,9;94,5;103,8
1010;2019;10;Procesamiento y conservacion de carne, pescado,y sus productos;116,5;115;112,8;111,3;103,2;94,7;105,4
1010;2019;11;Procesamiento y conservacion de carne, pescado,y sus productos;113,2;110,7;111,7;109,2;101,4;95,6;102,9
1010;2019;12;Procesamiento y conservacion de carne, pescado,y sus productos;122;118,8;128,9;125,4;104,3;96,6;106,3
1010;2020;1;Procesamiento y conservacion de carne, pescado,y sus productos;112,2;108,5;107,8;104,3;101,4;91,5;103,9
1010;2020;2;Procesamiento y conservacion de carne, pescado,y sus productos;106,5;103,9;105,1;102,6;101,4;91,8;103,8
1010;2020;3;Procesamiento y conservacion de carne, pescado,y sus productos;107,7;105,8;111,5;109,4;100,8;91,2;103,3
1010;2020;4;Procesamiento y conservacion de carne, pescado,y sus productos;93,9;93,4;90,2;89,7;98,8;89,5;101,1
1010;2020;5;Procesamiento y conservacion de carne, pescado,y sus productos;96,8;97,9;96,6;97,7;98,6;88;101,3
1010;2020;6;Procesamiento y conservacion de carne, pescado,y sus productos;103,4;100,8;103,9;101,5;98,3;88,3;100,8
1010;2020;7;Procesamiento y conservacion de carne, pescado,y sus productos;113,2;107,3;111,4;105,7;98,6;88,1;101,2
1010;2020;8;Procesamiento y conservacion de carne, pescado,y sus productos;107,2;99,9;106,5;99,2;99;88,3;101,7
1010;2020;9;Procesamiento y conservacion de carne, pescado,y sus productos;112,5;106,1;107,6;101,5;99,1;88,2;101,8
1010;2020;10;Procesamiento y conservacion de carne, pescado,y sus productos;118;113;115,4;110,5;100,9;89,7;103,7
1010;2020;11;Procesamiento y conservacion de carne, pescado,y sus productos;116,2;110,8;113,6;108,4;99,5;89,9;101,9
1010;2020;12;Procesamiento y conservacion de carne, pescado,y sus productos;126,6;118,2;140,8;131,5;103,2;92,5;105,9
1010;2021;1;Procesamiento y conservacion de carne, pescado,y sus productos;116,7;105,9;115,3;104,6;102,7;90,3;105,8
1010;2021;2;Procesamiento y conservacion de carne, pescado,y sus productos;115,1;103,8;116,9;105,4;102,2;89,5;105,3
1010;2021;3;Procesamiento y conservacion de carne, pescado,y sus productos;133,7;119,2;134,2;119,6;102,6;84;107,3
1010;2021;4;Procesamiento y conservacion de carne, pescado,y sus productos;121,7;106,1;120,8;105,3;102,3;83,8;106,9
1010;2021;5;Procesamiento y conservacion de carne, pescado,y sus productos;106,2;90,5;113,5;96,6;101,5;82,7;106,2
1010;2021;6;Procesamiento y conservacion de carne, pescado,y sus productos;142,2;116,3;143,2;117,1;102,5;83,6;107,3
1010;2021;7;Procesamiento y conservacion de carne, pescado,y sus productos;151,1;120,1;151,6;120,6;102,8;84;107,4
1010;2021;8;Procesamiento y conservacion de carne, pescado,y sus productos;147,9;115,1;150,2;117,1;100,5;84,9;104,4
1010;2021;9;Procesamiento y conservacion de carne, pescado,y sus productos;153,3;117,9;155,1;119,1;102,5;84,6;107
1010;2021;10;Procesamiento y conservacion de carne, pescado,y sus productos;155,8;118,7;154,9;118;105,6;85,3;110,6
1010;2021;11;Procesamiento y conservacion de carne, pescado,y sus productos;156,5;118,3;157,1;118,7;106,9;87,2;111,8
1010;2021;12;Procesamiento y conservacion de carne, pescado,y sus productos;168,3;125,8;177,2;132,5;107,1;88,1;111,8
1010;2022;1;Procesamiento y conservacion de carne, pescado,y sus productos;152,3;112,2;148,8;110;105,5;85,3;110,5
1010;2022;2;Procesamiento y conservacion de carne, pescado,y sus productos;148,4;110,3;148;110,2;105,8;86,2;110,7
1010;2022;3;Procesamiento y conservacion de carne, pescado,y sus productos;159,6;116,6;164;120,3;105,2;86,1;109,9
1010;2022;4;Procesamiento y conservacion de carne, pescado,y sus productos;155,5;110,8;155,4;110,7;104,7;86;109,4
1010;2022;5;Procesamiento y conservacion de carne, pescado,y sus productos;166,7;117,1;168,5;117,8;105,4;86,3;110,2
1010;2022;6;Procesamiento y conservacion de carne, pescado,y sus productos;166,7;115,6;171,8;119,3;105,9;86,4;110,8
1010;2022;7;Procesamiento y conservacion de carne, pescado,y sus productos;175;118,8;175,3;119,2;106;85,4;111,1
1010;2022;8;Procesamiento y conservacion de carne, pescado,y sus productos;189;127,4;188;127;107,3;85,3;112,8
1010;2022;9;Procesamiento y conservacion de carne, pescado,y sus productos;182;120,4;179,9;119,5;103;84,9;107,5
1010;2022;10;Procesamiento y conservacion de carne, pescado,y sus productos;188,5;125,9;185,8;124,3;108,6;84,9;114,6
1010;2022;11;Procesamiento y conservacion de carne, pescado,y sus productos;192,8;129,2;186,3;124,6;111;86,2;117,3
1010;2022;12;Procesamiento y conservacion de carne, pescado,y sus productos;197,8;131,4;205,9;136,5;110,1;87,8;115,7
1010;2023;1;Procesamiento y conservacion de carne, pescado,y sus productos;182,7;119,8;178,1;117,1;108,7;84,9;114,7
1010;2023;2;Procesamiento y conservacion de carne, pescado,y sus productos;174,5;115,3;171,6;113,9;109,7;85,4;115,7
1010;2023;3;Procesamiento y conservacion de carne, pescado,y sus productos;184,6;123;182,6;121,9;110,7;85,5;117
1010;2023;4;Procesamiento y conservacion de carne, pescado,y sus productos;166,8;109,9;166,9;109,8;110,3;84,4;116,8
1010;2023;5;Procesamiento y conservacion de carne, pescado,y sus productos;189,6;123,2;185,4;120,1;109,7;84,7;116
1010;2023;6;Procesamiento y conservacion de carne, pescado,y sus productos;188,3;119,5;192,7;122,4;109,5;85;115,6
1010;2023;7;Procesamiento y conservacion de carne, pescado,y sus productos;183,6;114,3;188,8;117,6;109;84,3;115,2
1010;2023;8;Procesamiento y conservacion de carne, pescado,y sus productos;187,4;115,5;191,7;118,5;107,4;84,6;113,2
1010;2023;9;Procesamiento y conservacion de carne, pescado,y sus productos;186,4;115,1;182,5;112,9;109,1;85,1;115,1
1010;2023;10;Procesamiento y conservacion de carne, pescado,y sus productos;193,5;121,6;188;117,8;108,9;84;115,1
